date,match_number,city,team_1,team_2,season_match_no,outcome_winner,player_of_match,toss_winner,toss_decision,officials_match_referees,officials_reserve_umpires,officials_tv_umpires,officials_umpires_1,officials_umpires_2,outcome_by_wickets,season,venue,outcome_by_runs,event_stage,outcome_method
2020-11-06,58,Abu Dhabi,Royal Challengers Bangalore,Sunrisers Hyderabad,Eliminator,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,field,M Nayyar,C Shamshuddin,VK Sharma,PR Reiffel,S Ravi,6.0,2020,SheikhZayedStadium,,Eliminator,regular
2020-11-08,59,Abu Dhabi,Delhi Capitals,Sunrisers Hyderabad,Qualifier 2,Delhi Capitals,MP Stoinis,Delhi Capitals,bat,M Nayyar,VK Sharma,C Shamshuddin,PR Reiffel,S Ravi,,2020,SheikhZayedStadium,17.0,Qualifier 2,regular
2020-11-10,60,Dubai,Delhi Capitals,Mumbai Indians,Final,Mumbai Indians,TA Boult,Delhi Capitals,bat,J Srinath,KN Ananthapadmanabhan,AK Chaudhary,CB Gaffaney,Nitin Menon,5.0,2020,DubaiInternationalCricketStadium,,Final,regular
2021-04-09,1,Chennai,Mumbai Indians,Royal Challengers Bangalore,1,Royal Challengers Bangalore,HV Patel,Royal Challengers Bangalore,field,V Narayan Kutty,UV Gandhe,C Shamshuddin,KN Ananthapadmanabhan,Nitin Menon,2.0,2021,MAChidambaramStadium,,group_stage,regular
2021-04-10,2,Mumbai,Chennai Super Kings,Delhi Capitals,2,Delhi Capitals,S Dhawan,Delhi Capitals,field,M Nayyar,AY Dandekar,S Ravi,AK Chaudhary,VK Sharma,7.0,2021,WankhedeStadium,,group_stage,regular
2021-04-11,3,Chennai,Kolkata Knight Riders,Sunrisers Hyderabad,3,Kolkata Knight Riders,N Rana,Sunrisers Hyderabad,field,V Narayan Kutty,HAS Khalid,CB Gaffaney,KN Ananthapadmanabhan,Nitin Menon,,2021,MAChidambaramStadium,10.0,group_stage,regular
2021-04-12,4,Mumbai,Punjab Kings,Rajasthan Royals,4,Punjab Kings,SV Samson,Rajasthan Royals,field,M Nayyar,YC Barde,VK Sharma,AK Chaudhary,S Ravi,,2021,WankhedeStadium,4.0,group_stage,regular
2021-04-13,5,Chennai,Mumbai Indians,Kolkata Knight Riders,5,Mumbai Indians,RD Chahar,Kolkata Knight Riders,field,S Chaturvedi,HAS Khalid,KN Ananthapadmanabhan,C Shamshuddin,CB Gaffaney,,2021,MAChidambaramStadium,10.0,group_stage,regular
2021-04-14,6,Chennai,Royal Challengers Bangalore,Sunrisers Hyderabad,6,Royal Challengers Bangalore,GJ Maxwell,Sunrisers Hyderabad,field,V Narayan Kutty,Tapan Sharma,C Shamshuddin,Nitin Menon,UV Gandhe,,2021,MAChidambaramStadium,6.0,group_stage,regular
2021-04-15,7,Mumbai,Delhi Capitals,Rajasthan Royals,7,Rajasthan Royals,JD Unadkat,Rajasthan Royals,field,Shakti Singh,J Madanagopal,AK Chaudhary,S Ravi,VK Sharma,3.0,2021,WankhedeStadium,,group_stage,regular
2021-04-16,8,Mumbai,Punjab Kings,Chennai Super Kings,8,Chennai Super Kings,DL Chahar,Chennai Super Kings,field,Prakash Bhatt,Navdeep Singh,VK Sharma,AK Chaudhary,AY Dandekar,6.0,2021,WankhedeStadium,,group_stage,regular
2021-04-17,9,Chennai,Mumbai Indians,Sunrisers Hyderabad,9,Mumbai Indians,KA Pollard,Mumbai Indians,bat,S Chaturvedi,Tapan Sharma,KN Ananthapadmanabhan,CB Gaffaney,K Srinivasan,,2021,MAChidambaramStadium,13.0,group_stage,regular
2021-04-18,10,Chennai,Royal Challengers Bangalore,Kolkata Knight Riders,10,Royal Challengers Bangalore,AB de Villiers,Royal Challengers Bangalore,bat,V Narayan Kutty,K Srinivasan,CB Gaffaney,C Shamshuddin,Nitin Menon,,2021,MAChidambaramStadium,38.0,group_stage,regular
2021-04-18,11,Mumbai,Punjab Kings,Delhi Capitals,11,Delhi Capitals,S Dhawan,Delhi Capitals,field,M Nayyar,J Madanagopal,S Ravi,AK Chaudhary,PR Reiffel,6.0,2021,WankhedeStadium,,group_stage,regular
2021-04-19,12,Mumbai,Chennai Super Kings,Rajasthan Royals,12,Chennai Super Kings,MM Ali,Rajasthan Royals,field,Prakash Bhatt,Navdeep Singh,YC Barde,PR Reiffel,VK Sharma,,2021,WankhedeStadium,45.0,group_stage,regular
2021-04-20,13,Chennai,Mumbai Indians,Delhi Capitals,13,Delhi Capitals,A Mishra,Mumbai Indians,bat,V Narayan Kutty,Tapan Sharma,UV Gandhe,C Shamshuddin,CB Gaffaney,6.0,2021,MAChidambaramStadium,,group_stage,regular
2021-04-21,14,Chennai,Punjab Kings,Sunrisers Hyderabad,14,Sunrisers Hyderabad,JM Bairstow,Punjab Kings,bat,S Chaturvedi,HAS Khalid,KN Ananthapadmanabhan,K Srinivasan,Nitin Menon,9.0,2021,MAChidambaramStadium,,group_stage,regular
2021-04-21,15,Mumbai,Chennai Super Kings,Kolkata Knight Riders,15,Chennai Super Kings,F du Plessis,Kolkata Knight Riders,field,Shakti Singh,YC Barde,AK Chaudhary,AY Dandekar,PR Reiffel,,2021,WankhedeStadium,18.0,group_stage,regular
2021-04-22,16,Mumbai,Rajasthan Royals,Royal Challengers Bangalore,16,Royal Challengers Bangalore,D Padikkal,Royal Challengers Bangalore,field,Shakti Singh,AY Dandekar,VK Sharma,J Madanagopal,S Ravi,10.0,2021,WankhedeStadium,,group_stage,regular
2021-04-23,17,Chennai,Mumbai Indians,Punjab Kings,17,Punjab Kings,KL Rahul,Punjab Kings,field,V Narayan Kutty,UV Gandhe,HAS Khalid,C Shamshuddin,Nitin Menon,9.0,2021,MAChidambaramStadium,,group_stage,regular
2021-04-24,18,Mumbai,Kolkata Knight Riders,Rajasthan Royals,18,Rajasthan Royals,CH Morris,Rajasthan Royals,field,M Nayyar,YC Barde,PR Reiffel,Navdeep Singh,S Ravi,6.0,2021,WankhedeStadium,,group_stage,regular
2021-04-25,19,Mumbai,Chennai Super Kings,Royal Challengers Bangalore,19,Chennai Super Kings,RA Jadeja,Chennai Super Kings,bat,Shakti Singh,J Madanagopal,Navdeep Singh,AK Chaudhary,VK Sharma,,2021,WankhedeStadium,69.0,group_stage,regular
2021-04-25,20,Chennai,Delhi Capitals,Sunrisers Hyderabad,20,tie,PP Shaw,Delhi Capitals,bat,S Chaturvedi,K Srinivasan,Tapan Sharma,CB Gaffaney,KN Ananthapadmanabhan,,2021,MAChidambaramStadium,,group_stage,regular
2021-04-26,21,Ahmedabad,Punjab Kings,Kolkata Knight Riders,21,Kolkata Knight Riders,EJG Morgan,Kolkata Knight Riders,field,Prakash Bhatt,AY Dandekar,S Ravi,PR Reiffel,YC Barde,5.0,2021,NarendraModiStadium,,group_stage,regular
2021-04-27,22,Ahmedabad,Royal Challengers Bangalore,Delhi Capitals,22,Royal Challengers Bangalore,AB de Villiers,Delhi Capitals,field,M Nayyar,J Madanagopal,AK Chaudhary,S Ravi,VK Sharma,,2021,NarendraModiStadium,1.0,group_stage,regular
2021-04-28,23,Delhi,Sunrisers Hyderabad,Chennai Super Kings,23,Chennai Super Kings,RD Gaikwad,Sunrisers Hyderabad,bat,J Srinath,UV Gandhe,KN Ananthapadmanabhan,C Shamshuddin,CK Nandan,7.0,2021,ArunJaitleyStadium,,group_stage,regular
2021-04-29,24,Delhi,Rajasthan Royals,Mumbai Indians,24,Mumbai Indians,Q de Kock,Mumbai Indians,field,V Narayan Kutty,Tapan Sharma,C Shamshuddin,CB Gaffaney,KN Ananthapadmanabhan,7.0,2021,ArunJaitleyStadium,,group_stage,regular
2021-04-29,25,Ahmedabad,Kolkata Knight Riders,Delhi Capitals,25,Delhi Capitals,PP Shaw,Delhi Capitals,field,Prakash Bhatt,Navdeep Singh,AY Dandekar,AK Chaudhary,YC Barde,7.0,2021,NarendraModiStadium,,group_stage,regular
2021-04-30,26,Ahmedabad,Punjab Kings,Royal Challengers Bangalore,26,Punjab Kings,Harpreet Brar,Royal Challengers Bangalore,field,Shakti Singh,YC Barde,J Madanagopal,S Ravi,VK Sharma,,2021,NarendraModiStadium,34.0,group_stage,regular
2021-05-01,27,Delhi,Chennai Super Kings,Mumbai Indians,27,Mumbai Indians,KA Pollard,Mumbai Indians,field,J Srinath,K Srinivasan,CB Gaffaney,KN Ananthapadmanabhan,CK Nandan,4.0,2021,ArunJaitleyStadium,,group_stage,regular
2021-05-02,28,Delhi,Rajasthan Royals,Sunrisers Hyderabad,28,Rajasthan Royals,JC Buttler,Sunrisers Hyderabad,field,S Chaturvedi,HAS Khalid,UV Gandhe,C Shamshuddin,CB Gaffaney,,2021,ArunJaitleyStadium,55.0,group_stage,regular
2021-05-02,29,Ahmedabad,Punjab Kings,Delhi Capitals,29,Delhi Capitals,MA Agarwal,Delhi Capitals,field,Shakti Singh,Navdeep Singh,J Madanagopal,AK Chaudhary,AY Dandekar,7.0,2021,NarendraModiStadium,,group_stage,regular
2021-09-19,30,Dubai,Chennai Super Kings,Mumbai Indians,30,Chennai Super Kings,RD Gaikwad,Chennai Super Kings,bat,J Srinath,AY Dandekar,AK Chaudhary,Nitin Menon,RK Illingworth,,2021,DubaiInternationalCricketStadium,20.0,group_stage,regular
2021-09-20,31,Abu Dhabi,Royal Challengers Bangalore,Kolkata Knight Riders,31,Kolkata Knight Riders,CV Varun,Royal Challengers Bangalore,bat,V Narayan Kutty,UV Gandhe,VK Sharma,CB Gaffaney,S Ravi,9.0,2021,ZayedCricketStadium,,group_stage,regular
2021-09-21,32,Dubai,Rajasthan Royals,Punjab Kings,32,Rajasthan Royals,Kartik Tyagi,Punjab Kings,field,Prakash Bhatt,YC Barde,KN Ananthapadmanabhan,AK Chaudhary,MA Gough,,2021,DubaiInternationalCricketStadium,2.0,group_stage,regular
2021-09-22,33,Dubai,Sunrisers Hyderabad,Delhi Capitals,33,Delhi Capitals,A Nortje,Sunrisers Hyderabad,bat,M Nayyar,K Srinivasan,J Madanagopal,KN Ananthapadmanabhan,RK Illingworth,8.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-09-23,34,Abu Dhabi,Mumbai Indians,Kolkata Knight Riders,34,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,V Narayan Kutty,Tapan Sharma,CB Gaffaney,S Ravi,VK Sharma,7.0,2021,ZayedCricketStadium,,group_stage,regular
2021-09-24,35,Sharjah,Royal Challengers Bangalore,Chennai Super Kings,35,Chennai Super Kings,DJ Bravo,Chennai Super Kings,field,J Srinath,Navdeep Singh,MA Gough,AK Chaudhary,Nitin Menon,6.0,2021,SharjahCricketStadium,,group_stage,regular
2021-09-25,36,Abu Dhabi,Delhi Capitals,Rajasthan Royals,36,Delhi Capitals,SS Iyer,Rajasthan Royals,field,V Narayan Kutty,Tapan Sharma,S Ravi,CB Gaffaney,UV Gandhe,,2021,ZayedCricketStadium,33.0,group_stage,regular
2021-09-25,37,Sharjah,Punjab Kings,Sunrisers Hyderabad,37,Punjab Kings,JO Holder,Sunrisers Hyderabad,field,Prakash Bhatt,J Madanagopal,KN Ananthapadmanabhan,RK Illingworth,YC Barde,,2021,SharjahCricketStadium,5.0,group_stage,regular
2021-09-26,38,Abu Dhabi,Kolkata Knight Riders,Chennai Super Kings,38,Chennai Super Kings,RA Jadeja,Kolkata Knight Riders,bat,V Narayan Kutty,UV Gandhe,VK Sharma,CB Gaffaney,Tapan Sharma,2.0,2021,ZayedCricketStadium,,group_stage,regular
2021-09-26,39,Dubai,Royal Challengers Bangalore,Mumbai Indians,39,Royal Challengers Bangalore,GJ Maxwell,Mumbai Indians,field,M Nayyar,HAS Khalid,Nitin Menon,AK Chaudhary,MA Gough,,2021,DubaiInternationalCricketStadium,54.0,group_stage,regular
2021-09-27,40,Dubai,Rajasthan Royals,Sunrisers Hyderabad,40,Sunrisers Hyderabad,JJ Roy,Rajasthan Royals,bat,J Srinath,AY Dandekar,RK Illingworth,KN Ananthapadmanabhan,Navdeep Singh,7.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-09-28,41,Sharjah,Delhi Capitals,Kolkata Knight Riders,41,Kolkata Knight Riders,SP Narine,Kolkata Knight Riders,field,Prakash Bhatt,YC Barde,AK Chaudhary,Nitin Menon,HAS Khalid,3.0,2021,SharjahCricketStadium,,group_stage,regular
2021-09-28,42,Abu Dhabi,Punjab Kings,Mumbai Indians,42,Mumbai Indians,KA Pollard,Mumbai Indians,field,V Narayan Kutty,Tapan Sharma,UV Gandhe,S Ravi,VK Sharma,6.0,2021,ZayedCricketStadium,,group_stage,regular
2021-09-29,43,Dubai,Rajasthan Royals,Royal Challengers Bangalore,43,Royal Challengers Bangalore,YS Chahal,Royal Challengers Bangalore,field,M Nayyar,K Srinivasan,RK Illingworth,AY Dandekar,KN Ananthapadmanabhan,7.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-09-30,44,Sharjah,Sunrisers Hyderabad,Chennai Super Kings,44,Chennai Super Kings,JR Hazlewood,Chennai Super Kings,field,Prakash Bhatt,HAS Khalid,MA Gough,Nitin Menon,YC Barde,6.0,2021,SharjahCricketStadium,,group_stage,regular
2021-10-01,45,Dubai,Kolkata Knight Riders,Punjab Kings,45,Punjab Kings,KL Rahul,Punjab Kings,field,M Nayyar,J Madanagopal,AY Dandekar,KN Ananthapadmanabhan,RK Illingworth,5.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-10-02,46,Sharjah,Mumbai Indians,Delhi Capitals,46,Delhi Capitals,AR Patel,Delhi Capitals,field,J Srinath,Navdeep Singh,Nitin Menon,AK Chaudhary,MA Gough,4.0,2021,SharjahCricketStadium,,group_stage,regular
2021-10-02,47,Abu Dhabi,Chennai Super Kings,Rajasthan Royals,47,Rajasthan Royals,RD Gaikwad,Rajasthan Royals,field,V Narayan Kutty,UV Gandhe,Tapan Sharma,CB Gaffaney,VK Sharma,7.0,2021,ZayedCricketStadium,,group_stage,regular
2021-10-03,48,Sharjah,Royal Challengers Bangalore,Punjab Kings,48,Royal Challengers Bangalore,GJ Maxwell,Royal Challengers Bangalore,bat,Prakash Bhatt,YC Barde,K Srinivasan,KN Ananthapadmanabhan,RK Illingworth,,2021,SharjahCricketStadium,6.0,group_stage,regular
2021-10-03,49,Dubai,Sunrisers Hyderabad,Kolkata Knight Riders,49,Kolkata Knight Riders,Shubman Gill,Sunrisers Hyderabad,bat,M Nayyar,HAS Khalid,Navdeep Singh,J Madanagopal,MA Gough,6.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-10-04,50,Dubai,Chennai Super Kings,Delhi Capitals,50,Delhi Capitals,AR Patel,Delhi Capitals,field,J Srinath,AY Dandekar,HAS Khalid,AK Chaudhary,Nitin Menon,3.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-10-05,51,Sharjah,Rajasthan Royals,Mumbai Indians,51,Mumbai Indians,NM Coulter-Nile,Mumbai Indians,field,Prakash Bhatt,K Srinivasan,J Madanagopal,AK Chaudhary,MA Gough,8.0,2021,SharjahCricketStadium,,group_stage,regular
2021-10-06,52,Abu Dhabi,Sunrisers Hyderabad,Royal Challengers Bangalore,52,Sunrisers Hyderabad,KS Williamson,Royal Challengers Bangalore,field,V Narayan Kutty,Tapan Sharma,CB Gaffaney,S Ravi,UV Gandhe,,2021,ZayedCricketStadium,4.0,group_stage,regular
2021-10-07,53,Dubai,Chennai Super Kings,Punjab Kings,53,Punjab Kings,KL Rahul,Punjab Kings,field,J Srinath,J Madanagopal,AY Dandekar,K Srinivasan,RK Illingworth,6.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-10-07,54,Sharjah,Kolkata Knight Riders,Rajasthan Royals,54,Kolkata Knight Riders,Shivam Mavi,Rajasthan Royals,field,M Nayyar,Navdeep Singh,YC Barde,MA Gough,HAS Khalid,,2021,SharjahCricketStadium,86.0,group_stage,regular
2021-10-08,55,Abu Dhabi,Mumbai Indians,Sunrisers Hyderabad,55,Mumbai Indians,Ishan Kishan,Mumbai Indians,bat,V Narayan Kutty,UV Gandhe,,Tapan Sharma,VK Sharma,,2021,ZayedCricketStadium,42.0,group_stage,regular
2021-10-08,56,Dubai,Delhi Capitals,Royal Challengers Bangalore,56,Royal Challengers Bangalore,KS Bharat,Royal Challengers Bangalore,field,Prakash Bhatt,Navdeep Singh,K Srinivasan,KN Ananthapadmanabhan,Nitin Menon,7.0,2021,DubaiInternationalCricketStadium,,group_stage,regular
2021-10-10,56,Dubai,Delhi Capitals,Chennai Super Kings,Qualifier 1,Chennai Super Kings,RD Gaikwad,Chennai Super Kings,field,J Srinath,KN Ananthapadmanabhan,MA Gough,Nitin Menon,RK Illingworth,4.0,2021,DubaiInternationalCricketStadium,,Qualifier 1,regular
2021-10-11,57,Sharjah,Royal Challengers Bangalore,Kolkata Knight Riders,Eliminator,Kolkata Knight Riders,SP Narine,Royal Challengers Bangalore,bat,M Nayyar,S Ravi,AK Chaudhary,CB Gaffaney,VK Sharma,4.0,2021,SharjahCricketStadium,,Eliminator,regular
2021-10-13,58,Sharjah,Delhi Capitals,Kolkata Knight Riders,Qualifier 2,Kolkata Knight Riders,VR Iyer,Kolkata Knight Riders,field,M Nayyar,AK Chaudhary,CB Gaffaney,KN Ananthapadmanabhan,MA Gough,3.0,2021,SharjahCricketStadium,,Qualifier 2,regular
2021-10-15,59,Dubai,Chennai Super Kings,Kolkata Knight Riders,Final,Chennai Super Kings,F du Plessis,Kolkata Knight Riders,field,J Srinath,VK Sharma,S Ravi,Nitin Menon,RK Illingworth,,2021,DubaiInternationalCricketStadium,27.0,Final,regular
2022-03-26,1,Mumbai,Chennai Super Kings,Kolkata Knight Riders,1,Kolkata Knight Riders,UT Yadav,Kolkata Knight Riders,field,M Nayyar,Chirra Ravikanthreddy,VK Sharma,AK Chaudhary,Nitin Menon,6.0,2022,WankhedeStadium,,group_stage,regular
2022-03-27,2,Mumbai,Mumbai Indians,Delhi Capitals,2,Delhi Capitals,Kuldeep Yadav,Delhi Capitals,field,Prakash Bhatt,N Pandit,J Madanagopal,RJ Tucker,HAS Khalid,4.0,2022,BrabourneStadium,,group_stage,regular
2022-03-27,3,Mumbai,Royal Challengers Bangalore,Punjab Kings,3,Punjab Kings,OF Smith,Punjab Kings,field,M Nayyar,R Pandit,AK Chaudhary,Nitin Menon,YC Barde,5.0,2022,DrDYPatilSportsAcademy,,group_stage,regular
2022-03-28,4,Mumbai,Lucknow Super Giants,Gujarat Titans,4,Gujarat Titans,Mohammed Shami,Gujarat Titans,field,DS Manohar,GR Sadashiv Iyer,RJ Tucker,PG Pathak,VK Sharma,5.0,2022,WankhedeStadium,,group_stage,regular
2022-03-29,5,Pune,Rajasthan Royals,Sunrisers Hyderabad,5,Rajasthan Royals,SV Samson,Sunrisers Hyderabad,field,Shakti Singh,MV Saidharshan Kumar,KN Ananthapadmanabhan,BNJ Oxenford,UV Gandhe,,2022,MaharashtraCricketAssociationStadium,61.0,group_stage,regular
2022-03-30,6,Mumbai,Kolkata Knight Riders,Royal Challengers Bangalore,6,Royal Challengers Bangalore,PWH de Silva,Royal Challengers Bangalore,field,M Nayyar,Chirra Ravikanthreddy,Nitin Menon,J Madanagopal,Navdeep Singh,3.0,2022,DrDYPatilSportsAcademy,,group_stage,regular
2022-03-31,7,Mumbai,Chennai Super Kings,Lucknow Super Giants,7,Lucknow Super Giants,E Lewis,Lucknow Super Giants,field,J Srinath,NA Patwardhan,YC Barde,RJ Tucker,VK Sharma,6.0,2022,BrabourneStadium,,group_stage,regular
2022-04-01,8,Mumbai,Punjab Kings,Kolkata Knight Riders,8,Kolkata Knight Riders,UT Yadav,Kolkata Knight Riders,field,Prakash Bhatt,A Totre,J Madanagopal,AK Chaudhary,HAS Khalid,6.0,2022,WankhedeStadium,,group_stage,regular
2022-04-02,9,Mumbai,Rajasthan Royals,Mumbai Indians,9,Rajasthan Royals,JC Buttler,Mumbai Indians,field,DS Manohar,N Pandit,VK Sharma,Nitin Menon,PG Pathak,,2022,DrDYPatilSportsAcademy,23.0,group_stage,regular
2022-04-02,10,Pune,Gujarat Titans,Delhi Capitals,10,Gujarat Titans,LH Ferguson,Delhi Capitals,field,Shakti Singh,Vinod Seshan,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,,2022,MaharashtraCricketAssociationStadium,14.0,group_stage,regular
2022-04-03,11,Mumbai,Punjab Kings,Chennai Super Kings,11,Punjab Kings,LS Livingstone,Chennai Super Kings,field,J Srinath,R Pandit,AK Chaudhary,RJ Tucker,YC Barde,,2022,BrabourneStadium,54.0,group_stage,regular
2022-04-04,12,Mumbai,Lucknow Super Giants,Sunrisers Hyderabad,12,Lucknow Super Giants,Avesh Khan,Sunrisers Hyderabad,field,M Nayyar,GR Sadashiv Iyer,VK Sharma,J Madanagopal,Navdeep Singh,,2022,DrDYPatilSportsAcademy,12.0,group_stage,regular
2022-04-05,13,Mumbai,Rajasthan Royals,Royal Challengers Bangalore,13,Royal Challengers Bangalore,KD Karthik,Royal Challengers Bangalore,field,Prakash Bhatt,NA Patwardhan,Nitin Menon,AK Chaudhary,HAS Khalid,4.0,2022,WankhedeStadium,,group_stage,regular
2022-04-06,14,Pune,Mumbai Indians,Kolkata Knight Riders,14,Kolkata Knight Riders,PJ Cummins,Kolkata Knight Riders,field,V Narayan Kutty,MV Saidharshan Kumar,UV Gandhe,BNJ Oxenford,KN Ananthapadmanabhan,5.0,2022,MaharashtraCricketAssociationStadium,,group_stage,regular
2022-04-07,15,Mumbai,Delhi Capitals,Lucknow Super Giants,15,Lucknow Super Giants,Q de Kock,Lucknow Super Giants,field,Shakti Singh,A Totre,J Madanagopal,RJ Tucker,Tapan Sharma,6.0,2022,DrDYPatilSportsAcademy,,group_stage,regular
2022-04-08,16,Mumbai,Punjab Kings,Gujarat Titans,16,Gujarat Titans,Shubman Gill,Gujarat Titans,field,J Srinath,Chirra Ravikanthreddy,PG Pathak,AK Chaudhary,VK Sharma,6.0,2022,BrabourneStadium,,group_stage,regular
2022-04-09,17,Mumbai,Chennai Super Kings,Sunrisers Hyderabad,17,Sunrisers Hyderabad,Abhishek Sharma,Sunrisers Hyderabad,field,J Srinath,N Pandit,YC Barde,Navdeep Singh,Nitin Menon,8.0,2022,DrDYPatilSportsAcademy,,group_stage,regular
2022-04-09,18,Pune,Mumbai Indians,Royal Challengers Bangalore,18,Royal Challengers Bangalore,Anuj Rawat,Royal Challengers Bangalore,field,V Narayan Kutty,Vinod Seshan,UV Gandhe,BNJ Oxenford,KN Ananthapadmanabhan,7.0,2022,MaharashtraCricketAssociationStadium,,group_stage,regular
2022-04-10,19,Mumbai,Delhi Capitals,Kolkata Knight Riders,19,Delhi Capitals,Kuldeep Yadav,Kolkata Knight Riders,field,Prakash Bhatt,R Pandit,HAS Khalid,CB Gaffaney,J Madanagopal,,2022,BrabourneStadium,44.0,group_stage,regular
2022-04-10,20,Mumbai,Rajasthan Royals,Lucknow Super Giants,20,Rajasthan Royals,YS Chahal,Lucknow Super Giants,field,J Srinath,GR Sadashiv Iyer,PG Pathak,AK Chaudhary,Tapan Sharma,,2022,WankhedeStadium,3.0,group_stage,regular
2022-04-11,21,Mumbai,Gujarat Titans,Sunrisers Hyderabad,21,Sunrisers Hyderabad,KS Williamson,Sunrisers Hyderabad,field,DS Manohar,NA Patwardhan,VK Sharma,Chirra Ravikanthreddy,RJ Tucker,8.0,2022,DrDYPatilSportsAcademy,,group_stage,regular
2022-04-12,22,Mumbai,Chennai Super Kings,Royal Challengers Bangalore,22,Chennai Super Kings,S Dube,Royal Challengers Bangalore,field,J Srinath,A Totre,YC Barde,Nitin Menon,N Pandit,,2022,DrDYPatilSportsAcademy,23.0,group_stage,regular
2022-04-13,23,Pune,Punjab Kings,Mumbai Indians,23,Punjab Kings,MA Agarwal,Mumbai Indians,field,V Narayan Kutty,MV Saidharshan Kumar,KN Ananthapadmanabhan,BNJ Oxenford,UV Gandhe,,2022,MaharashtraCricketAssociationStadium,12.0,group_stage,regular
2022-04-14,24,Mumbai,Gujarat Titans,Rajasthan Royals,24,Gujarat Titans,HH Pandya,Rajasthan Royals,field,M Nayyar,Tapan Sharma,J Madanagopal,CB Gaffaney,R Pandit,,2022,DrDYPatilSportsAcademy,37.0,group_stage,regular
2022-04-15,25,Mumbai,Kolkata Knight Riders,Sunrisers Hyderabad,25,Sunrisers Hyderabad,RA Tripathi,Sunrisers Hyderabad,field,Prakash Bhatt,PG Pathak,HAS Khalid,GR Sadashiv Iyer,VK Sharma,7.0,2022,BrabourneStadium,,group_stage,regular
2022-04-16,26,Mumbai,Lucknow Super Giants,Mumbai Indians,26,Lucknow Super Giants,KL Rahul,Mumbai Indians,field,Shakti Singh,YC Barde,Navdeep Singh,AK Chaudhary,NA Patwardhan,,2022,BrabourneStadium,18.0,group_stage,regular
2022-04-16,27,Mumbai,Royal Challengers Bangalore,Delhi Capitals,27,Royal Challengers Bangalore,KD Karthik,Delhi Capitals,field,J Srinath,N Pandit,CB Gaffaney,Chirra Ravikanthreddy,J Madanagopal,,2022,WankhedeStadium,16.0,group_stage,regular
2022-04-17,28,Mumbai,Punjab Kings,Sunrisers Hyderabad,28,Sunrisers Hyderabad,Umran Malik,Sunrisers Hyderabad,field,DS Manohar,A Totre,RJ Tucker,PG Pathak,R Pandit,7.0,2022,DrDYPatilSportsAcademy,,group_stage,regular
2022-04-17,29,Pune,Chennai Super Kings,Gujarat Titans,29,Gujarat Titans,DA Miller,Gujarat Titans,field,V Narayan Kutty,Vinod Seshan,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,3.0,2022,MaharashtraCricketAssociationStadium,,group_stage,regular
2022-04-18,30,Mumbai,Rajasthan Royals,Kolkata Knight Riders,30,Rajasthan Royals,YS Chahal,Kolkata Knight Riders,field,M Nayyar,NA Patwardhan,Nitin Menon,GR Sadashiv Iyer,VK Sharma,,2022,BrabourneStadium,7.0,group_stage,regular
2022-04-19,31,Mumbai,Royal Challengers Bangalore,Lucknow Super Giants,31,Royal Challengers Bangalore,F du Plessis,Lucknow Super Giants,field,Prakash Bhatt,Chirra Ravikanthreddy,J Madanagopal,CB Gaffaney,N Pandit,,2022,DrDYPatilSportsAcademy,18.0,group_stage,regular
2022-04-20,32,Mumbai,Punjab Kings,Delhi Capitals,32,Delhi Capitals,Kuldeep Yadav,Delhi Capitals,field,Shakti Singh,R Pandit,AK Chaudhary,RJ Tucker,Tapan Sharma,9.0,2022,BrabourneStadium,,group_stage,regular
2022-04-21,33,Navi Mumbai,Mumbai Indians,Chennai Super Kings,33,Chennai Super Kings,Mukesh Choudhary,Chennai Super Kings,field,V Narayan Kutty,MV Saidharshan Kumar,KN Ananthapadmanabhan,BNJ Oxenford,UV Gandhe,3.0,2022,DrDYPatilSportsAcademy,,group_stage,regular
2022-04-22,34,Mumbai,Rajasthan Royals,Delhi Capitals,34,Rajasthan Royals,JC Buttler,Delhi Capitals,field,DS Manohar,GR Sadashiv Iyer,YC Barde,NA Patwardhan,Nitin Menon,,2022,WankhedeStadium,15.0,group_stage,regular
2022-04-23,35,Navi Mumbai,Gujarat Titans,Kolkata Knight Riders,35,Gujarat Titans,Rashid Khan,Gujarat Titans,bat,V Narayan Kutty,Vinod Seshan,BNJ Oxenford,KN Ananthapadmanabhan,UV Gandhe,,2022,DrDYPatilSportsAcademy,8.0,group_stage,regular
2022-04-23,36,Mumbai,Royal Challengers Bangalore,Sunrisers Hyderabad,36,Sunrisers Hyderabad,M Jansen,Sunrisers Hyderabad,field,M Nayyar,HAS Khalid,CB Gaffaney,Chirra Ravikanthreddy,J Madanagopal,9.0,2022,BrabourneStadium,,group_stage,regular
